Date,Product,State,Channel,Quantity,Revenue,Cost,Profit
2022-01-01,Millet Cookies,West Bengal,Online,126,20928.6,16109.41,4819.19
2022-01-01,Bajra Mix,Maharashtra,Online,94,29158.8,24004.55,5154.25
2022-01-01,Millet Cookies,Tamil Nadu,Online,169,24538.8,20710.3,3828.5
2022-01-01,Millet Cookies,UP,Distributor,149,44416.9,37685.18,6731.72
2022-01-01,Ragi Flour,Karnataka,Distributor,41,7576.8,5366.24,2210.56
2022-01-01,Jowar Pasta,Gujarat,Distributor,34,10060.6,6721.7,3338.9
2022-01-02,Millet Snacks,Maharashtra,Online,83,19173.0,15759.98,3413.02
2022-01-02,Foxtail Millet,Bihar,Online,37,8587.7,7200.27,1387.43
2022-01-02,Millet Snacks,Delhi,Distributor,28,5205.2,3485.06,1720.14
2022-01-02,Millet Cookies,Karnataka,Online,191,18278.7,12006.87,6271.83
2022-01-02,Millet Snacks,Bihar,Distributor,123,28548.3,20336.16,8212.14
2022-01-02,Millet Snacks,UP,Distributor,23,3364.9,2208.26,1156.64
2022-01-03,Bajra Mix,Delhi,Distributor,33,6316.2,5270.08,1046.12
2022-01-03,Millet Snacks,Gujarat,Retail,59,18950.8,13791.17,5159.63
2022-01-03,Bajra Mix,Gujarat,Retail,43,11020.9,9291.18,1729.72
2022-01-03,Millet Cookies,Karnataka,Retail,60,15576.0,12623.4,2952.6
2022-01-03,Ragi Flour,Bihar,Online,28,5143.6,3749.56,1394.04
2022-01-03,Jowar Pasta,Maharashtra,Retail,155,41261.0,33340.34,7920.66
2022-01-04,Jowar Pasta,West Bengal,Distributor,60,7062.0,5809.35,1252.65
2022-01-04,Millet Cookies,Delhi,Retail,67,16951.0,13285.66,3665.34
2022-01-04,Foxtail Millet,Maharashtra,Distributor,54,16156.8,11739.29,4417.51
2022-01-04,Millet Snacks,Maharashtra,Retail,24,7840.8,5466.58,2374.22
2022-01-04,Millet Snacks,Gujarat,Online,156,49077.6,36096.98,12980.62
2022-01-04,Bajra Mix,Karnataka,Retail,198,30927.6,25643.7,5283.9
2022-01-05,Ragi Flour,Karnataka,Retail,115,26691.5,22194.34,4497.16
2022-01-05,Foxtail Millet,Gujarat,Online,48,6072.0,5091.8,980.2
2022-01-05,Jowar Pasta,Maharashtra,Distributor,47,7496.5,5808.82,1687.68
2022-01-05,Millet Snacks,Bihar,Retail,153,18008.1,14599.79,3408.31
2022-01-05,Millet Cookies,Karnataka,Distributor,94,21403.8,17368.93,4034.87
2022-01-05,Millet Cookies,Bihar,Online,148,32560.0,25381.76,7178.24
2022-01-06,Ragi Flour,Karnataka,Retail,22,4404.4,3007.9,1396.5
2022-01-06,Jowar Pasta,Bihar,Distributor,184,26312.0,18520.56,7791.44
2022-01-06,Jowar Pasta,UP,Retail,199,42028.8,27864.19,14164.61
2022-01-06,Bajra Mix,Karnataka,Distributor,58,13334.2,10566.74,2767.46
2022-01-06,Foxtail Millet,Bihar,Retail,132,11761.2,8827.2,2934.0
2022-01-06,Millet Snacks,Gujarat,Retail,148,36792.8,28924.33,7868.47
2022-01-07,Foxtail Millet,Karnataka,Distributor,179,54541.3,38092.25,16449.05
2022-01-07,Millet Cookies,Gujarat,Online,142,34988.8,27838.6,7150.2
2022-01-07,Foxtail Millet,Karnataka,Distributor,158,38757.4,31667.14,7090.26
2022-01-07,Millet Cookies,Maharashtra,Distributor,112,10102.4,7760.45,2341.95
2022-01-07,Jowar Pasta,Karnataka,Online,109,32852.6,26673.03,6179.57
