Date,Product,State,Channel,Quantity,Revenue,Cost,Profit
2022-01-01,Millet Snacks,Karnataka,Retail,24,5174.4,4095.7,1078.7
2022-01-01,Foxtail Millet,Gujarat,Distributor,220,73568.0,46552.24,27015.76
2022-01-01,Millet Noodles,West Bengal,Online,159,60690.3,47268.02,13422.28
2022-01-01,Barnyard Millet,UP,Distributor,201,55275.0,37970.24,17304.76
2022-01-01,Barnyard Millet,Punjab,Retail,228,37118.4,26278.69,10839.71
2022-01-01,Millet Noodles,Maharashtra,Online,73,17666.0,14295.1,3370.9
2022-01-01,Millet Snacks,West Bengal,Retail,176,34460.8,28686.52,5774.28
2022-01-01,Bajra Mix,Rajasthan,Retail,99,15463.8,10373.07,5090.73
2022-01-02,Millet Cookies,Gujarat,Retail,17,2318.8,1901.53,417.27
2022-01-02,Millet Cookies,Delhi,Distributor,143,22493.9,16651.7,5842.2
2022-01-02,Barnyard Millet,Delhi,Distributor,53,14633.3,10344.76,4288.54
2022-01-02,Millet Cookies,Tamil Nadu,Distributor,224,84022.4,52929.91,31092.49
2022-01-02,Millet Noodles,West Bengal,Retail,91,14214.2,10647.65,3566.55
2022-01-02,Ragi Flour,Punjab,Retail,24,4065.6,2534.66,1530.94
2022-01-02,Ragi Flour,Tamil Nadu,Retail,245,60637.5,37668.92,22968.58
2022-01-02,Jowar Pasta,Maharashtra,Retail,145,40194.0,31907.55,8286.45
2022-01-03,Jowar Pasta,West Bengal,Distributor,240,34320.0,28186.71,6133.29
2022-01-03,Ragi Flour,Tamil Nadu,Distributor,42,6329.4,4440.58,1888.82
2022-01-03,Barnyard Millet,Tamil Nadu,Retail,108,31006.8,23573.31,7433.49
2022-01-03,Jowar Pasta,Maharashtra,Retail,236,49324.0,41125.2,8198.8
2022-01-03,Jowar Pasta,Bihar,Retail,227,85896.8,58095.01,27801.79
2022-01-03,Jowar Pasta,Punjab,Online,24,3458.4,2478.48,979.92
2022-01-03,Jowar Pasta,Gujarat,Retail,61,12413.5,9595.8,2817.7
2022-01-03,Foxtail Millet,Gujarat,Online,246,62779.2,49358.34,13420.86
2022-01-04,Millet Cookies,Gujarat,Online,95,16197.5,12267.3,3930.2
2022-01-04,Barnyard Millet,Punjab,Retail,143,18404.1,12294.99,6109.11
2022-01-04,Millet Cookies,Rajasthan,Online,101,35552.0,29134.94,6417.06
2022-01-04,Ragi Flour,Punjab,Online,199,45969.0,36773.51,9195.49
2022-01-04,Ragi Flour,Maharashtra,Online,207,51460.2,37394.2,14066.0
2022-01-04,Ragi Flour,Maharashtra,Distributor,181,47983.1,39703.14,8279.96
2022-01-04,Barnyard Millet,Tamil Nadu,Retail,189,41995.8,26636.94,15358.86
2022-01-04,Bajra Mix,Karnataka,Distributor,48,10665.6,6960.15,3705.45
2022-01-05,Millet Noodles,Bihar,Online,122,12212.2,8922.1,3290.1
2022-01-05,Barnyard Millet,Gujarat,Retail,233,80478.2,61127.8,19350.4
2022-01-05,Barnyard Millet,Delhi,Retail,181,61123.7,51150.95,9972.75
2022-01-05,Millet Noodles,Gujarat,Online,212,63663.6,42799.78,20863.82
2022-01-05,Millet Snacks,UP,Retail,125,25712.5,19525.47,6187.03
2022-01-05,Jowar Pasta,Bihar,Retail,133,40378.8,26691.76,13687.04
2022-01-05,Foxtail Millet,Maharashtra,Online,173,44910.8,31289.65,13621.15
2022-01-05,Millet Snacks,Karnataka,Retail,170,40579.0,29781.14,10797.86
2022-01-06,Millet Noodles,Bihar,Online,229,60456.0,44684.15,15771.85
2022-01-06,Bajra Mix,Maharashtra,Online,153,33828.3,25105.48,8722.82
2022-01-06,Millet Cookies,Bihar,Distributor,138,52067.4,42559.24,9508.16
2022-01-06,Foxtail Millet,Gujarat,Retail,242,50045.6,38739.23,11306.37
2022-01-06,Millet Noodles,Maharashtra,Distributor,129,35475.0,27005.24,8469.76
2022-01-06,Jowar Pasta,Bihar,Distributor,113,42634.9,26519.9,16115.0
2022-01-06,Barnyard Millet,Punjab,Online,162,50430.6,38943.36,11487.24
2022-01-06,Millet Noodles,Punjab,Retail,77,18972.8,14772.35,4200.45
2022-01-07,Millet Noodles,Bihar,Online,124,15140.4,10199.75,4940.65
2022-01-07,Barnyard Millet,UP,Retail,60,7656.0,6085.44,1570.56
2022-01-07,Barnyard Millet,Bihar,Online,201,52179.6,38917.68,13261.92
2022-01-07,Millet Noodles,Bihar,Retail,181,61521.9,44504.19,17017.71
2022-01-07,Barnyard Millet,West Bengal,Distributor,108,38253.6,31738.09,6515.51
2022-01-07,Foxtail Millet,Bihar,Distributor,190,38456.0,31995.25,6460.75
2022-01-07,Ragi Flour,Karnataka,Online,222,61050.0,42107.58,18942.42
2022-01-07,Millet Noodles,Delhi,Retail,243,83397.6,67195.69,16201.91
2022-01-08,Jowar Pasta,Tamil Nadu,Distributor,33,7368.9,5565.74,1803.16
2022-01-08,Barnyard Millet,Gujarat,Distributor,136,36502.4,25002.83,11499.57
2022-01-08,Bajra Mix,Bihar,Retail,146,53801.0,37611.64,16189.36
2022-01-08,Foxtail Millet,Rajasthan,Online,35,3927.0,2505.23,1421.77
2022-01-08,Millet Snacks,Punjab,Retail,29,7368.9,6011.56,1357.34
2022-01-08,Millet Snacks,Delhi,Distributor,41,13710.4,10527.47,3182.93
2022-01-08,Jowar Pasta,Punjab,Distributor,72,22096.8,15092.98,7003.82
2022-01-08,Bajra Mix,Rajasthan,Distributor,58,17162.2,10787.19,6375.01
2022-01-09,Millet Snacks,UP,Online,197,41173.0,30257.77,10915.23
2022-01-09,Foxtail Millet,West Bengal,Online,205,30668.0,23733.74,6934.26
2022-01-09,Millet Noodles,Karnataka,Retail,123,28818.9,22398.36,6420.54
2022-01-09,Jowar Pasta,Bihar,Online,28,5574.8,4368.91,1205.89
2022-01-09,Bajra Mix,West Bengal,Distributor,126,29937.6,23145.19,6792.41
2022-01-09,Foxtail Millet,Bihar,Distributor,131,12969.0,9302.89,3666.11
2022-01-09,Millet Noodles,UP,Retail,241,86422.6,58904.39,27518.21
2022-01-09,Millet Noodles,Gujarat,Online,78,28828.8,18176.49,10652.31
2022-01-10,Bajra Mix,Maharashtra,Retail,95,28633.0,19906.05,8726.95
2022-01-10,Millet Cookies,West Bengal,Online,103,37049.1,30954.24,6094.86
2022-01-10,Foxtail Millet,Rajasthan,Distributor,185,26048.0,18134.28,7913.72
2022-01-10,Barnyard Millet,West Bengal,Online,19,7001.5,5319.18,1682.32
2022-01-10,Bajra Mix,Karnataka,Online,147,54816.3,45242.96,9573.34
2022-01-10,Millet Noodles,Bihar,Retail,246,25165.8,19012.44,6153.36
2022-01-10,Millet Noodles,Gujarat,Distributor,229,62723.1,51862.64,10860.46
2022-01-10,Millet Noodles,Delhi,Online,133,17848.6,12865.55,4983.05
2022-01-11,Jowar Pasta,West Bengal,Online,74,20919.8,17137.02,3782.78
2022-01-11,Millet Cookies,Delhi,Retail,44,14713.6,9352.87,5360.73
2022-01-11,Millet Noodles,Rajasthan,Distributor,99,22215.6,15151.22,7064.38
2022-01-11,Millet Cookies,Rajasthan,Retail,123,22189.2,18040.79,4148.41
2022-01-11,Millet Cookies,Punjab,Retail,173,53474.3,39929.44,13544.86
2022-01-11,Jowar Pasta,Karnataka,Distributor,240,48840.0,33942.67,14897.33
2022-01-11,Barnyard Millet,West Bengal,Retail,192,21542.4,16862.96,4679.44
2022-01-11,Jowar Pasta,Punjab,Distributor,26,4318.6,3149.31,1169.29
2022-01-12,Ragi Flour,UP,Retail,196,23284.8,16430.32,6854.48
2022-01-12,Millet Cookies,Punjab,Online,85,27582.5,21207.89,6374.61
2022-01-12,Millet Cookies,Maharashtra,Distributor,120,30756.0,22103.05,8652.95
2022-01-12,Jowar Pasta,Punjab,Online,222,34676.4,27538.17,7138.23
2022-01-12,Ragi Flour,Gujarat,Retail,190,27379.0,22843.25,4535.75
2022-01-12,Barnyard Millet,Rajasthan,Retail,172,57516.8,42568.27,14948.53
2022-01-12,Jowar Pasta,Delhi,Online,85,9163.0,7216.16,1946.84
2022-01-12,Millet Cookies,Bihar,Retail,239,25238.4,18013.66,7224.74
2022-01-13,Millet Noodles,Rajasthan,Retail,187,43402.7,28309.54,15093.16
2022-01-13,Foxtail Millet,West Bengal,Distributor,92,22770.0,15992.27,6777.73
2022-01-13,Ragi Flour,UP,Retail,80,26928.0,20201.8,6726.2
2022-01-13,Millet Cookies,UP,Online,28,8346.8,6469.76,1877.04
2022-01-13,Bajra Mix,Rajasthan,Online,48,11352.0,8268.54,3083.46
2022-01-13,Foxtail Millet,Delhi,Distributor,67,17466.9,11286.06,6180.84
2022-01-13,Foxtail Millet,Punjab,Online,10,3069.0,2173.0,896.0
2022-01-13,Millet Cookies,Bihar,Retail,65,14729.0,12253.19,2475.81
2022-01-14,Millet Cookies,West Bengal,Distributor,222,71306.4,58628.51,12677.89
2022-01-14,Millet Cookies,Maharashtra,Online,29,4338.4,3290.54,1047.86
2022-01-14,Barnyard Millet,Bihar,Retail,63,24116.4,19733.36,4383.04
2022-01-14,Ragi Flour,Rajasthan,Distributor,213,57403.5,39829.14,17574.36
2022-01-14,Bajra Mix,Karnataka,Distributor,145,43862.5,29408.35,14454.15
2022-01-14,Millet Cookies,West Bengal,Retail,237,73256.7,52723.8,20532.9
2022-01-14,Millet Snacks,Bihar,Retail,170,56287.0,42362.27,13924.73
2022-01-14,Millet Noodles,Maharashtra,Retail,143,26898.3,19142.46,7755.84
2022-01-15,Foxtail Millet,Punjab,Distributor,19,6917.9,5128.58,1789.32
2022-01-15,Foxtail Millet,Gujarat,Retail,127,21513.8,15612.16,5901.64
2022-01-15,Millet Snacks,Bihar,Online,94,15716.8,11103.25,4613.55
2022-01-15,Jowar Pasta,Bihar,Retail,170,34969.0,21964.06,13004.94
2022-01-15,Millet Snacks,Bihar,Retail,249,26020.5,20092.44,5928.06
2022-01-15,Foxtail Millet,West Bengal,Distributor,12,1478.4,1166.72,311.68
2022-01-15,Foxtail Millet,Rajasthan,Distributor,92,23680.8,15938.09,7742.71
